source_id,ra,dec,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise,bp_rp,teff,logg,mh,vbroad,alpha
209368252544556416,82.32153158833815,47.36639806143878,13.850442,12.236315,1552.3468,2674.1292,0.032275423,1.6141272,5179.493,3.1385,-0.0507,12.572718,0.26
212030445075625088,78.1208282893543,46.45080066409636,13.7620735,12.137916,1678.0527,4372.2544,0.068294495,1.6241579,5239.689,2.8098,-0.1328,10.897717,0.01
240014974506204672,47.173439766679486,41.763519239158335,13.208119,12.259212,1853.33,2558.294,0.05479425,0.94890785,5683.6235,4.3477,-0.0237,,-0.08
247723405712171520,53.87853190697489,45.46734291137944,13.132516,12.166609,1404.0898,2403.1584,0.05606441,0.9659071,5823.041,4.2809,-0.6366,,0.04
248266843634179584,55.76295596876466,46.77701180343974,13.138078,11.42509,1060.8013,1514.8977,0.04907105,1.7129879,5055.6675,2.7247,0.0147,11.44041,-0.02
259976539388286208,74.8515828633981,51.934481044289896,13.030161,11.899182,1818.9368,2596.2336,0.1266599,1.1309786,5349.8613,4.1054,-0.0611,13.452744,-0.0
264039372290928384,87.13839995147936,53.25946945643,13.269434,12.270882,2045.9789,2449.2563,0.107496984,0.9985523,5786.5625,4.0614,-0.2856,,0.81
275501368694974976,65.98349344430902,54.222005935685104,13.803465,11.729748,1169.9407,2109.9646,1.7957982,2.073717,5967.574,1.7599,0.0266,8.274588,-0.19
279622303915836032,75.93446768263499,56.2242405787058,14.00711,12.096436,954.3838,1332.0071,0.0,1.9106741,5610.8843,2.8979,-0.0665,17.686563,-0.1
356426760231982848,30.61893292410763,47.204835941189344,12.80192,11.503224,1274.3589,2630.3823,0.039269567,1.2986956,4881.618,3.0618,0.102,,0.05
386602414475228032,0.11778878020904789,45.590709424681286,11.42327,10.603338,2326.317,3495.369,0.12016119,0.819932,6323.61,3.8853,-0.4904,,0.15
392865915605715456,4.124224055765172,49.15261599869735,12.270052,11.846221,2867.6567,3784.713,0.17074402,0.423831,7510.082,4.1815,0.1953,,0.27
406886342424977280,22.430171436725832,51.67048586299999,10.49586,9.159406,3613.7327,5899.548,0.07865219,1.3364544,4874.7544,2.6569,-0.1256,6.576539,0.04
410124606029242112,19.39611719357219,52.46653456919006,13.318045,12.085397,2179.591,2851.249,0.43797052,1.2326479,5013.191,4.2788,-0.1151,15.708353,-0.04
425076795940736640,12.120104312752357,58.14375394440355,13.820961,12.133726,1658.1401,2943.6465,0.0694564,1.6872349,4826.376,2.0965,-0.07,7.7147865,0.1
451043274854040448,39.90758202339377,50.89990577455579,13.492102,11.66014,626.8515,1804.8883,0.08103,1.8319616,4519.023,2.0947,-0.198,,-0.07
454682525205975296,39.634115489720735,56.076206981422196,13.488279,11.782512,1060.8125,2176.8809,0.05270325,1.7057676,4990.3096,2.6641,-0.1543,14.155959,-0.06
472470527397481984,69.61675016213877,61.59318285431916,10.497061,9.983352,4674.87,6486.2393,0.21099195,0.51370907,10146.621,4.1369,0.4439,9.461934,-0.39
490314432883062400,59.54811874847022,67.53485836105874,13.19574,11.911481,2790.8635,4573.5884,0.3029222,1.2842588,5340.996,3.5673,-0.1599,,0.06
501200560070593408,65.32503221756815,72.28985139456891,12.014162,11.094292,2073.0466,4961.479,0.08445504,0.9198704,5552.7334,4.2803,0.1451,6.127384,-0.02
505323556883449344,29.052361650864828,57.192361942844734,12.465159,10.96989,1968.3489,4391.023,0.10332464,1.4952698,4997.605,2.7435,0.103,10.717529,0.02
519209048706114432,26.89315388427238,66.2122179351706,13.253413,9.98689,392.7453,930.54645,0.2221744,3.2665234,4301.848,0.6762,-0.0189,8.050905,0.01
526282481888839168,13.675728194845608,67.36479361016205,9.171566,8.442099,3994.9905,3215.9734,0.0824107,0.7294674,5961.0127,4.2557,-0.1707,,0.11
540533630048816640,44.08488350209917,67.37057934585019,13.624071,12.055336,1858.5621,3065.038,0.07499881,1.5687351,5902.826,4.0632,-0.1653,10.9931555,0.35
540654060932622976,46.297796867324166,67.84707304501777,14.167415,11.970056,1471.2708,2815.2698,0.08042148,2.197359,5337.5405,2.2185,0.0377,9.855132,-0.06
546810501412601472,40.237839957132046,73.7573287745843,10.769248,9.379122,3556.5774,7520.741,0.06423975,1.3901262,4951.676,2.7413,0.0597,7.27606,-0.06
554845216992682240,59.55828174762291,78.2805276760472,13.044956,12.204851,2239.904,3578.109,0.070556015,0.84010506,5769.944,4.3157,-0.2212,,0.24
562021007832896256,31.92954968274057,78.27686637099444,11.03654,8.908776,929.47345,1738.4633,0.21825555,2.1277637,4798.7305,1.8974,0.0639,10.315212,0.14
786948548208183040,178.9180657186704,48.95514385211845,11.281745,10.470069,3444.4426,4492.6055,0.147721,0.811676,5712.3643,4.3468,-0.1774,,0.01
814879510802041984,143.12678584091452,42.89551211928285,12.008696,10.878145,1815.49,3369.1028,0.16260722,1.1305504,5060.4907,3.0722,-0.1105,13.904653,0.16
965162645575533440,97.84917501373862,45.33645677000193,12.563759,11.70301,1827.0902,3144.14,0.08390392,0.86074924,5782.663,3.9533,-0.3607,,0.49
