source_id,ra,dec,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise,bp_rp,teff,logg,mh,vbroad,alpha,original_ext_source_id,angular_distance
241814802023271424,51.645209711580215,44.693474428480215,12.437082,11.093929,2097.9397,4241.6973,0.08363848,1.343153,5228.0464,3.3495,0.0761,,-0.09,1237670458586694202,0.07534243
248063326603453312,53.223376493834664,46.52232298067555,12.661878,11.734612,2143.2886,2171.5527,0.039146982,0.92726517,6267.07,4.021,-0.3995,,0.34,1237670961097540018,0.04810347
249408853959833856,54.41669008031443,48.45320498224953,11.483201,9.928145,2007.5487,3325.7393,0.099931926,1.5550556,4938.423,2.6696,-0.1186,8.37313,0.02,1237670961635328222,0.054068744
251930141500602368,58.51822029699264,52.30016302528646,10.961724,9.363906,2127.668,4942.0107,0.07822099,1.5978184,4777.8223,2.6006,-0.1079,,-0.02,1237667139637019230,0.06117662
396710156151016448,20.825522906289898,43.649703349205296,12.770525,11.421061,1653.6383,2864.2734,0.13294895,1.3494644,4623.4897,2.1529,-0.4099,9.348097,0.01,1237666216230256886,0.026211997
409218677167098112,23.218264760799457,55.15805768907568,12.0201845,11.184765,2063.3252,2752.61,0.1060578,0.83541965,6267.524,3.8179,-0.3223,15.5284605,0.55,1237671069536158738,0.02293636
505690484526649856,27.69765986211594,57.01979009320439,13.191679,12.051578,1065.1243,1083.5049,0.10936059,1.1401014,5904.803,3.5786,-0.0858,,0.09,1237671066852851801,0.04650347
511314688360154496,27.761914330674507,61.575518365521795,12.719694,11.873722,2817.7334,4904.5117,0.018013751,0.84597206,8979.06,4.0255,0.469,,0.68,1237670445687374463,0.015824072
511403375146572928,26.605111768697277,62.22634754776331,13.139,11.987725,2392.5193,4576.273,0.0,1.1512747,5934.1606,3.9399,-0.5395,,0.14,1237671069002498384,0.11388785
545845370721163264,40.35141976475039,72.60547698121222,12.949248,11.929797,1076.8417,2671.8206,0.021163464,1.0194511,6576.338,3.978,-0.2315,14.490996,0.47,1237671071143362774,0.040905617
545989097506835840,42.0432408151691,73.36418619251896,14.567471,12.537508,1228.5167,2280.4282,0.0,2.0299625,4973.935,2.7644,0.0705,,-0.04,1237670444082397235,0.06970924
546098292755924992,35.257974177808,71.37688686800858,14.475903,12.241814,1092.0392,2502.8596,0.0,2.234089,4829.1562,2.6549,0.2303,,-0.03,1237671072216318148,0.034787938
549358099916938624,45.62723370202186,77.5851919315815,12.9340315,11.892069,1888.6891,3006.6868,0.06678469,1.0419626,5951.3276,4.0213,-0.3391,5.346931,0.29,1237671562376315054,0.06884583
801462200471445632,145.1255933722877,40.45653760114559,12.125723,10.816841,1547.3394,2749.6433,0.10020013,1.3088818,4644.391,2.1537,-0.5715,11.563003,0.2,1237660344473485379,0.03279928
829620624539264256,159.91175245102806,45.321273904777705,12.227489,11.255938,572.25977,765.893,0.0963639,0.9715519,5240.598,3.7068,0.0497,7.187738,0.04,1237661358073708547,0.06190283
834533178068482816,156.4911494003577,48.34636520802606,13.158146,12.310029,1649.0126,2005.955,0.08129663,0.8481169,5530.7744,4.173,-0.3579,,0.29,1237657856066322443,0.07736625
836659736636350208,160.89027868845318,50.805020879509286,13.776132,12.07407,2007.8999,3633.1223,0.2786644,1.7020617,4298.7837,4.5748,0.2597,,0.26,1237657857678442550,0.06987326
840016614356430080,173.3415045404797,52.1205588093073,13.078266,12.30394,2478.912,2449.684,0.06595604,0.7743263,5883.696,4.2506,-0.3122,,0.03,1237657629526065200,0.039342795
