,source_id,ra,dec,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise,bp_rp,teff_gspphot,logg_gspphot,mh_gspphot,vbroad,parallax,phot_g_mean_mag,alphafe_gspspec,original_ext_source_id,angular_distance,plate,mjd,fiberID,redshift,abs_g_mag,x_test_index,X_test_index
4,28248000706176,45.0068166131502,0.4094734857046148,16.161688,14.960652,322.59467,508.41214,0.042590454,1.2010355,4788.102,4.4755,-0.3356,,1.281026447747244,15.637931,,1237666301090136087,0.051929038,1068,52614,622,-1.44499e-05,6.175721350911186,2765,2765
20,97998269560192,44.62570723962393,0.6698155026272286,17.435019,16.416044,102.30307,151.70697,0.0,1.0189743,5117.3,4.6725,-0.6332,,0.5764706116452717,16.992327,,1237678617437339698,0.091567785,1068,52614,582,0.0002725943,5.796212596202935,2935,2935
59,314151088178944,44.23275815353443,1.0910042004571394,18.070688,16.693186,73.47063,131.58975,0.0,1.3775024,4348.3765,4.6556,-1.1642,,0.7319422441616033,17.450212,,1237657072240230492,0.038266722,1512,53742,525,0.0001734782,6.772596544916613,385,385
844,73674601980782592,32.76391622494341,12.86507720016902,16.057884,14.606453,322.21924,951.85547,0.0,1.4514313,4589.328,4.6573,0.3628,,1.9754199966337243,15.390971,,1237653651312017515,0.048116054,428,51883,189,-6.191932e-05,6.869268412269459,2540,2540
897,77491517941849728,31.492721239279494,14.506172318789378,16.654724,15.379417,151.9492,330.52823,0.062445603,1.2753067,4664.6025,4.6044,-0.0535,,1.1062796981853258,16.094517,,1237679167162024051,0.08129878,427,51900,617,-0.0001484645,6.313841466848782,3890,3890
2416,147038480256758784,71.87415605244608,24.13575882778194,16.078638,14.590919,135.92085,191.91896,0.23852567,1.4877195,,,,,0.7833022255079944,16.122528,,1237664088608800906,0.31276724,1257,52944,61,-4.350504e-05,5.592174878452562,1925,1925
2888,148281375073152000,70.72871973421121,25.941517422578784,16.837479,14.96441,170.99406,610.0184,0.0,1.8730688,5969.357,4.3718,-0.6704,,1.2067464557361731,15.915433,,1237660559210053885,0.06984476,1257,52944,415,-0.0001759757,6.323513089752176,1668,1668
2935,148303953716447616,71.04501350217278,26.062979349426488,17.239504,15.702187,231.54134,421.04312,0.0,1.5373173,5696.5684,4.5935,-1.2048,,0.6970117671742454,16.536167,,1237660761073844405,0.036761303,1257,52944,463,0.0001048137,5.752367695062455,4069,4069
2961,148320549470080640,70.86034304374687,26.182464022478477,17.515123,16.111576,162.8698,294.60403,0.1281811,1.4035473,5362.7495,4.7034,-1.7899,,0.5717637780651537,16.887024,,1237660559746990462,0.045573752,1257,52944,449,-0.000111607,5.673107119814624,3598,3598
3151,149154632120154112,64.61946562983827,24.22533735764477,17.306555,16.064772,104.99148,142.52516,0.14860347,1.2417831,,,,,0.585218391819194,17.416481,,1237660557060145348,0.39053613,1254,52972,41,2.486418e-05,6.253070849865196,2751,2751
3154,149167207782445184,64.63250546726013,24.30003903522907,16.377283,15.18553,41.798107,49.093452,0.0,1.1917534,5932.1997,4.5825,-3.9404,,0.8198386568392255,16.280476,,1237660557060145365,0.04765254,1254,52972,43,-0.0001182453,5.849117577527014,1016,1016
3514,150632577613107456,64.34716637817144,25.891547975831756,16.797096,15.558901,32.165665,40.39626,0.51906747,1.2381954,,,,,0.7159494743558621,16.53209,,1237660559207563395,0.07825481,1250,52930,294,9.000874e-05,5.806501106231702,2542,2542
