,source_id,ra,dec,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise,bp_rp,teff_gspphot,logg_gspphot,mh_gspphot,vbroad,parallax,phot_g_mean_mag,alphafe_gspspec,original_ext_source_id,angular_distance,plate,mjd,fiberID,redshift,abs_g_mag,x_test_index,X_test_index
27736,797526743414637056,142.80691749119802,34.37497582062391,16.513893,15.877246,27.006601,34.08874,0.11345423,0.6366472,6493.5454,4.2694,-2.4312,,0.006144602815385845,16.278921,,1237661383308148982,0.013981227,1593,52991,516,-0.0004239366,-4.77860979512087,3666,3666
27814,798687071780070144,142.07108982566533,35.8218502477727,18.257969,17.441994,103.13455,134.45613,0.0,0.8159752,6111.933,4.5235,-4.128,,0.0040891306974598085,17.963287,,1237660764305948736,0.10557031,1274,52995,560,1.777084,-3.978557687649502,638,638
28193,803705582149500160,150.55537559183958,40.304365430499026,19.189943,18.535215,37.15637,43.3351,0.376362,0.65472794,5976.9053,4.7244,-3.9632,,0.0023971532297542113,18.980593,,1237660962944581741,0.013784398,1356,53033,361,1.020096,-4.120928293848147,273,273
28648,811647839969415168,142.08665257232872,39.07955131664084,16.587368,16.080732,166.1597,103.09717,0.056304555,0.50663567,19700.77,4.3866,-0.3325,,0.009018535975298416,16.426126,,1237660635990196240,0.01333111,1214,52731,524,0.6659499,-3.7981933097122784,3172,3172
28710,812651724149420928,139.9138781847401,40.10280720676367,18.96699,18.41813,38.115658,32.683674,0.0,0.54885864,6426.3916,4.5953,-3.3186,,0.0028097904139598624,18.71261,,1237657874328715456,0.06838611,938,52708,518,1.850397,-4.044020122726042,435,435
32672,863410854539887744,176.71147057327875,63.84957570341415,17.7604,17.10924,82.35872,107.097145,0.0,0.6511612,6224.074,4.5239,-1.8326,,0.006095545066010399,17.515062,,1237651065204113488,0.025407007,598,52316,294,0.0001216497,-3.5598749354852472,1203,1203
40322,1054555827131984000,168.57561510625848,63.00078787507481,18.690216,18.186941,41.11285,49.82882,0.0,0.5032749,6542.582,4.5648,-2.4626,,0.004553544551376132,18.552832,,1237651249885151245,0.07592926,596,52370,85,2.06118,-3.1554204001106587,1133,1133
49001,1316582199791116800,239.64748186871594,27.517308059657633,17.980846,17.384613,87.039665,81.07878,0.15570717,0.59623337,6380.9893,4.4563,-3.604,,0.0027752825509084495,17.756657,,1237662306199666893,0.03343206,1391,52817,106,0.9237708,-5.02680732759309,825,825
51309,1337575961276827264,255.9147824861741,32.999189476742124,18.145214,17.562353,64.642746,83.91881,0.1916304,0.58286095,6589.21,4.588,-3.5315,,0.0002605777663064329,17.97869,,1237655473972379998,0.035417523,973,52426,517,1.376165,-9.941624021501383,3047,3047
53064,1372722782467596160,238.2705358159225,35.807934797805274,16.531982,15.997424,113.60263,125.3455,0.047677115,0.5345583,,,,,0.004034523872534411,16.3708,,1237662504293236822,0.053338554,1417,53141,417,0.7211347,-5.6002385338982315,2994,2994
61919,1529185310028682496,196.45212507444182,43.18311719816727,18.661575,18.109417,91.08367,68.674324,0.2670653,0.55215836,6460.399,4.5861,-1.692,,0.004060473574495243,18.481682,,1237661871333507079,0.04160717,1374,53083,53,1.145681,-3.4754347340044234,3787,3787
68453,1613135982043243008,226.2315160805649,56.82231568949024,17.37457,16.82558,78.21163,101.454124,0.02689764,0.54899025,10564.698,3.6527,-0.886,,0.0038240611276479618,17.322235,,1237671767998201935,0.06860978,612,52079,312,0.358707,-4.765140763276406,509,509
69105,1659004789655171328,205.90987402813585,58.558006821032485,17.776213,16.842417,71.933945,161.53041,0.44217116,0.9337959,5247.983,4.3661,-3.5307,,0.004676840197367724,17.3859,,1237659326015209529,0.08537678,960,52425,31,-0.0003816652,-4.264336848645357,3816,3816
80835,2508955757853533184,25.31238013447386,-0.7513434087640823,17.654848,16.855774,118.60794,162.90233,0.46806577,0.7990742,5626.106,4.6101,-1.086,,0.008186864824029926,17.364182,,1237663783134756867,0.041663907,1077,52644,258,-0.0002938673,-3.0702303830840236,2623,2623
94453,2687249299238096768,324.09665412833414,-0.402153936309806,15.967696,15.4588375,37.71023,54.688526,0.12104344,0.5088587,7464.949,4.0938,-0.96,,0.001282833375316192,15.805592,,1237663457242644542,0.029367918,989,52468,147,-0.001281002,-8.653557164803814,1308,1308
96749,2756180676776281984,5.91658547075763,14.218847907908389,18.731062,17.962032,33.24368,41.05383,0.5333396,0.7690296,5801.7354,4.7066,-3.5095,,0.0014345056236893354,18.481321,,1237656494579318865,0.04174507,753,52233,132,0.9787654,-5.735167389415707,962,962
99632,3074253104176213888,132.06812126042942,-0.36004711705046116,18.471281,17.625067,47.667583,73.43235,0.1600569,0.8462143,5968.7373,4.7182,-4.1013,,0.0013144974860559936,18.133701,,1237650795676958903,0.036400013,467,51901,43,1.741061,-6.272499876208631,390,390
99664,3074749632459369856,133.724870860721,0.5732996819622034,18.56031,17.66054,57.697845,83.52555,0.0,0.89977074,6137.069,4.5908,-3.906,,0.0010881595433010031,18.250633,,1237650796751421643,0.04150518,469,51913,264,1.674238,-6.5659038841070405,1826,1826
106005,3667380008920032640,212.0403169442811,2.3146866950521066,17.821806,17.21332,88.61929,75.79115,0.0,0.6084862,6465.87,4.5776,-3.5275,,0.004800328185045284,17.606941,,1237651754024304765,0.022962557,532,51993,493,1.554466,-3.986704127392173,2223,2223
