,source_id,ra,dec,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise,bp_rp,teff_gspphot,logg_gspphot,mh_gspphot,vbroad,parallax,phot_g_mean_mag,alphafe_gspspec,original_ext_source_id,angular_distance,plate,mjd,fiberID,redshift,abs_g_mag,x_test_index,X_test_index
20954,711054345778130048,129.85419809896757,33.46380191240495,19.657768,16.088873,32.486435,443.44583,0.6788067,3.5688953,,,,,9.567945661179643,17.463589,,1237658203955724574,0.027303427,933,52642,17,-3.366255e-05,12.367682215506882,3949,3949
26824,782388319429590272,166.9600169709309,45.51685203482673,19.879473,15.926716,24.941906,326.86893,0.8361858,3.952757,,,,,13.758592071560683,17.367134,,1237660634924908785,0.024396375,1436,53054,27,-9.261176e-05,13.060004066484137,578,578
27881,799766895277573504,144.99889911355677,37.29043571007756,19.761604,16.261793,21.849386,346.697,0.07570996,3.4998112,,,,,10.60297250963051,17.613628,,1237661850919108779,0.047267344,1276,53035,293,-2.357771e-05,12.740766564509421,3765,3765
28171,803375320643630208,152.3979565522935,39.389326991557,19.329405,16.344236,28.529358,251.67633,0.0,2.9851685,3256.1033,5.1104,-0.6024,,9.48995270175811,17.596518,,1237660772346298525,0.05409723,1357,53034,290,-0.0001109404,12.482837802338477,1636,1636
31208,845877939044020096,173.52585188454103,57.31672366425501,19.583622,16.142742,37.577675,287.9532,1.3368661,3.4408798,,,,,7.966181301089504,17.55975,,1237657612338397358,0.09825772,1311,52765,392,4.967557e-05,12.0660005344055,3834,3834
31223,846079871226294400,174.86375022088143,58.24852453813535,19.35921,15.77179,30.56154,290.02435,0.98008084,3.5874195,,,,,11.87987088025181,17.143307,,1237657613412532477,0.05460168,1311,52765,363,-9.472237e-05,12.517365334267716,933,933
37708,1019921318232133120,141.23093094386195,53.361145171605436,18.569216,15.602437,58.616734,287.13593,0.0,2.9667788,,,,,11.76088425886657,16.841944,,1237654381442040038,0.09215433,554,52000,89,-2.388324e-05,12.194143620935243,994,994
39391,1038857348003755136,142.29672015683778,60.22217422850862,19.169464,15.617719,28.090986,428.96945,0.0,3.5517454,,,,,12.293570056115897,16.979849,,1237651272428814425,0.06530543,485,51909,553,-0.0001691757,12.428238963890255,2906,2906
40023,1051037840895867648,148.82264015687727,60.73320256417594,20.117111,16.028475,25.228733,369.56876,1.7773479,4.0886364,,,,,13.94932183261132,17.540289,,1237651252028506298,0.05193071,770,52282,465,-7.750963e-05,13.263054396368098,59,59
46328,1278440794258261504,229.365401202935,33.950145058922494,18.730288,14.985102,61.0636,590.5219,0.30751768,3.7451859,,,,,24.18974528787405,16.382746,,1237662341618401394,0.018096054,1386,53116,561,-0.0003572771,13.300902219652066,1912,1912
47269,1295772980161426048,226.58107604785747,38.873019779894776,19.454374,15.823992,31.538612,324.2439,0.20794463,3.6303825,,,,,10.859823892261215,17.194725,,1237661361306403054,0.020644685,1398,53146,19,-0.0001065206,12.373838949607467,3565,3565
48756,1314306279440328448,250.80292936170645,32.963130026639064,19.846342,16.113747,21.467127,300.99353,0.61248606,3.7325954,,,,,10.468147178397222,17.494425,,1237659162816479994,0.026694225,1341,52786,517,-5.185781e-05,12.593773920123887,2962,2962
