,source_id,ra,dec,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise,bp_rp,teff_gspphot,logg_gspphot,mh_gspphot,vbroad,parallax,phot_g_mean_mag,alphafe_gspspec,original_ext_source_id,angular_distance,plate,mjd,fiberID,redshift,abs_g_mag,x_test_index,X_test_index
9778,580558842594128256,138.65560497555242,5.748151064101122,17.44173,17.614767,93.10138,49.190758,0.22264826,-0.17303658,,,,,7.352640637086248,17.485067,,1237658300062302217,0.04643514,1193,52652,481,8.243419e-05,11.817284068523286,2151,2151
11290,588778993386454144,144.52941054234165,10.055559036155884,18.375185,18.495752,81.01628,27.107666,0.0,-0.12056732,,,,,3.3454771971607484,18.35039,,1237660670887133248,0.017650142,1304,52993,544,-0.0002335982,10.972679850919288,2969,2969
11295,588813460499195264,144.9932308646347,10.360258142760072,17.83941,17.515675,82.20369,107.22271,0.0,0.3237362,,,,,10.562572670145796,17.726582,,1237661068172328964,0.15915388,1304,52993,621,0.0001086262,12.845430122983831,1876,1876
11403,590669363112793600,139.37923943362176,9.443976821683655,18.238722,18.182245,57.528492,41.31612,0.2877056,0.056476593,,,,,5.208629848693065,18.180882,,1237661068169838814,0.024948655,1301,52976,445,3.515495e-05,11.764498977192659,3124,3124
18428,681934703732973824,121.99129053785771,25.95274127278295,18.792603,18.18384,37.234413,54.010143,0.5363266,0.60876274,,,,,9.886454579304324,18.56677,,1237660343389257945,0.04359343,1205,52670,543,0.0002609653,13.541973430836503,2903,2903
20310,701733064155285120,138.73469641552234,32.4925953675694,18.930866,18.387768,36.92427,40.035233,0.0,0.54309845,,,,,6.65084997860279,18.708881,,1237661383306510422,0.050538123,1592,52990,237,-0.0001409138,12.823267136589962,3800,3800
20943,710947968027922176,127.84768638931226,33.52962192036456,17.675623,16.833801,99.43603,182.17563,0.080044545,0.8418217,,,,,25.0700347548146,17.324879,,1237658192685826085,0.008177457,933,52642,307,1.341798,14.320653372751849,3847,3847
21118,713272777989543040,135.0597645483039,33.19409377867997,18.58125,18.48557,56.831524,42.751915,0.0,0.09567833,,,,,8.802524218947287,18.532833,,1237660962401419325,0.05335793,1271,52974,563,-8.012074e-06,13.255869242595342,1580,1580
21320,716112442863454464,132.4523112200865,33.32350902585711,16.58734,16.164227,234.81215,264.31097,0.0,0.42311287,,,,,22.045344185239745,16.438799,,1237660635449065645,0.019781826,1210,52701,197,0.0002407117,13.155383322835213,2909,2909
21479,717203467636317056,130.71755239371538,34.40601754106811,16.19434,16.412159,449.42047,249.25586,0.14716694,-0.21781921,,,,,10.089093793898563,16.258759,,1237658191613132877,0.035303064,934,52672,286,0.0002063135,11.278019342417796,1214,1214
